ate_t,ens,lasso,xgb,nn
-0.496212067190318,-0.395732547773875,-0.327875123143769,-0.473503106326553,1.20841269608987
-0.496844797442422,-0.478637003094832,-1.03992298907911,-1.07081931612425,-0.852641771211257
-0.533507695577863,-0.432565097282785,-1.03323294496649,-0.86687083697087,-1.75901369926397
-0.439259623072483,-0.370125623252966,-0.276025470374158,-0.0628562528883367,3.75076676688927
-0.42664578189846,-0.428386018970536,-0.518180577701151,-0.407765861583488,0.172190746897709
-0.530269052635174,-0.403426061762515,-0.436703936122016,-1.18320478211483,0.459446298449926
-0.430658758870761,-0.47002677520662,-0.45100636360101,-0.562094570103708,-1.01294612650313
-0.573518982742642,-0.614542820399739,-6.753953923134,-0.211165145491269,-7.75026227842861
-0.537698278646911,-0.48679586905874,0.100618128534735,0.292618116713985,0.546159839277116
-0.433138362099082,-0.452847555738066,-0.478763991259201,-1.40806999443642,-0.0912634564004196
-0.418601388451776,-0.410581562975654,-0.804045461178676,0.190172186092216,-1.25133306445164
-0.512909217179281,-0.472613280627061,-0.339947314219802,-1.48691629327733,-0.62778944405942
-0.490028869748735,-0.424810161484141,-0.36671271053259,-0.340251047874699,-0.608573153923034
-0.566883780025688,-0.440145780156582,-0.563445836782516,-0.699610715141002,-0.294029116130327
-0.436491991611361,-0.454885735478943,0.00905919477145645,0.0449065793254203,0.522116923658357
-0.481634331849701,-0.480533339942104,-0.343034442728505,0.116510995309567,-0.9798129646227
-0.504204587367324,-0.472315426101168,-0.523986641037523,-0.664501933843956,0.3733270104994
-0.457244457879053,-0.448139268766334,20.2292405433514,-0.941593280596222,1.14652298795456
-0.466476523291878,-0.434987065088022,-0.562418585247978,-0.145419730404254,-1.28042481205489
-0.474359797949703,-0.505905617354951,-0.468117691647313,-0.640026717002843,-1.30358423213652
